Pavarde        Vardas         Galutinis (Vid.)    Galutinis (Med.)    
Pavarde2753    Vardas2753     5.79                6.00                
Pavarde2754    Vardas2754     3.80                3.40                
Pavarde2755    Vardas2755     3.41                3.60                
Pavarde2756    Vardas2756     2.92                3.00                
Pavarde2757    Vardas2757     6.11                6.40                
Pavarde2758    Vardas2758     3.69                3.80                
Pavarde2759    Vardas2759     6.28                6.20                
Pavarde2760    Vardas2760     5.11                4.60                
Pavarde2761    Vardas2761     8.15                8.60                
Pavarde2762    Vardas2762     3.20                3.60                
Pavarde2763    Vardas2763     6.55                6.60                
Pavarde2764    Vardas2764     5.76                6.00                
Pavarde2765    Vardas2765     5.68                5.60                
Pavarde2766    Vardas2766     4.67                5.20                
Pavarde2767    Vardas2767     6.23                6.20                
Pavarde2768    Vardas2768     7.56                7.40                
Pavarde2769    Vardas2769     3.07                3.20                
Pavarde2770    Vardas2770     3.04                2.80                
Pavarde2771    Vardas2771     4.40                4.40                
Pavarde2772    Vardas2772     4.83                4.40                
Pavarde2773    Vardas2773     8.24                8.00                
Pavarde2774    Vardas2774     5.60                5.60                
Pavarde2775    Vardas2775     6.85                6.40                
Pavarde2776    Vardas2776     8.13                7.60                
Pavarde2777    Vardas2777     4.03                3.60                
Pavarde2778    Vardas2778     6.60                6.20                
Pavarde2779    Vardas2779     6.65                6.20                
Pavarde2780    Vardas2780     5.03                5.00                
Pavarde2781    Vardas2781     6.28                6.20                
Pavarde2782    Vardas2782     4.84                4.60                
Pavarde2783    Vardas2783     3.29                3.80                
Pavarde2784    Vardas2784     6.67                6.80                
Pavarde2785    Vardas2785     5.87                6.00                
Pavarde2786    Vardas2786     6.39                6.20                
Pavarde2787    Vardas2787     5.12                5.20                
Pavarde2788    Vardas2788     3.99                3.80                
Pavarde2789    Vardas2789     8.24                8.40                
Pavarde2790    Vardas2790     4.29                4.80                
Pavarde2791    Vardas2791     7.64                7.40                
Pavarde2792    Vardas2792     7.69                8.20                
Pavarde2793    Vardas2793     7.07                7.20                
Pavarde2794    Vardas2794     2.79                3.00                
Pavarde2795    Vardas2795     8.32                8.40                
Pavarde2796    Vardas2796     4.33                5.00                
Pavarde2797    Vardas2797     6.93                6.80                
Pavarde2798    Vardas2798     7.61                7.80                
Pavarde2799    Vardas2799     6.71                6.60                
Pavarde2800    Vardas2800     7.95                8.00                
Pavarde2801    Vardas2801     4.75                4.80                
Pavarde2802    Vardas2802     5.13                5.00                
Pavarde2803    Vardas2803     8.48                8.40                
Pavarde2804    Vardas2804     7.53                7.40                
Pavarde2805    Vardas2805     6.36                6.20                
Pavarde2806    Vardas2806     5.79                5.60                
Pavarde2807    Vardas2807     8.24                8.00                
Pavarde2808    Vardas2808     6.52                6.60                
Pavarde2809    Vardas2809     6.25                6.60                
Pavarde2810    Vardas2810     3.49                3.20                
Pavarde2811    Vardas2811     5.92                6.00                
Pavarde2812    Vardas2812     6.96                6.80                
Pavarde2813    Vardas2813     2.71                3.00                
Pavarde2814    Vardas2814     6.33                6.20                
Pavarde2815    Vardas2815     2.76                2.60                
Pavarde2816    Vardas2816     7.04                7.20                
Pavarde2817    Vardas2817     2.60                2.20                
Pavarde2818    Vardas2818     8.24                8.40                
Pavarde2819    Vardas2819     4.32                4.40                
Pavarde2820    Vardas2820     4.03                4.00                
Pavarde2821    Vardas2821     8.27                8.40                
Pavarde2822    Vardas2822     3.36                3.60                
Pavarde2823    Vardas2823     7.53                7.00                
Pavarde2824    Vardas2824     6.17                5.80                
Pavarde2825    Vardas2825     6.15                6.20                
Pavarde2826    Vardas2826     4.35                4.40                
Pavarde2827    Vardas2827     4.91                4.80                
Pavarde2828    Vardas2828     5.08                5.00                
Pavarde2829    Vardas2829     7.95                7.60                
Pavarde2830    Vardas2830     6.87                7.00                
Pavarde2831    Vardas2831     6.57                6.60                
Pavarde2832    Vardas2832     8.32                8.00                
Pavarde2833    Vardas2833     6.60                6.20                
Pavarde2834    Vardas2834     6.68                6.60                
Pavarde2835    Vardas2835     6.77                6.40                
Pavarde2836    Vardas2836     7.72                7.40                
Pavarde2837    Vardas2837     6.83                6.80                
Pavarde2838    Vardas2838     6.77                6.80                
Pavarde2839    Vardas2839     6.13                6.40                
Pavarde2840    Vardas2840     6.96                6.80                
Pavarde2841    Vardas2841     4.52                5.00                
Pavarde2842    Vardas2842     3.04                2.80                
Pavarde2843    Vardas2843     6.23                6.20                
Pavarde2844    Vardas2844     4.09                4.20                
Pavarde2845    Vardas2845     8.25                8.20                
Pavarde2846    Vardas2846     6.01                5.80                
Pavarde2847    Vardas2847     6.75                6.40                
Pavarde2848    Vardas2848     5.47                5.60                
Pavarde2849    Vardas2849     2.84                2.60                
Pavarde2850    Vardas2850     6.29                6.80                
Pavarde2851    Vardas2851     6.00                6.00                
Pavarde2852    Vardas2852     3.44                3.20                
Pavarde2853    Vardas2853     6.31                6.60                
Pavarde2854    Vardas2854     4.25                4.20                
Pavarde2855    Vardas2855     7.49                7.60                
Pavarde2856    Vardas2856     6.23                6.20                
Pavarde2857    Vardas2857     2.79                3.00                
Pavarde2858    Vardas2858     6.88                7.20                
Pavarde2859    Vardas2859     8.45                8.40                
Pavarde2860    Vardas2860     4.37                4.40                
Pavarde2861    Vardas2861     3.28                3.20                
Pavarde2862    Vardas2862     4.65                4.60                
Pavarde2863    Vardas2863     5.95                6.40                
Pavarde2864    Vardas2864     5.73                6.00                
Pavarde2865    Vardas2865     5.48                6.20                
Pavarde2866    Vardas2866     2.89                3.00                
Pavarde2867    Vardas2867     5.95                6.40                
Pavarde2868    Vardas2868     6.65                7.00                
Pavarde2869    Vardas2869     4.48                4.80                
Pavarde2870    Vardas2870     7.01                6.80                
Pavarde2871    Vardas2871     4.75                4.80                
Pavarde2872    Vardas2872     5.20                5.20                
Pavarde2873    Vardas2873     8.20                8.60                
Pavarde2874    Vardas2874     7.77                7.80                
Pavarde2875    Vardas2875     2.81                2.20                
Pavarde2876    Vardas2876     4.75                5.20                
Pavarde2877    Vardas2877     3.36                3.60                
Pavarde2878    Vardas2878     7.87                8.00                
Pavarde2879    Vardas2879     4.48                4.00                
Pavarde2880    Vardas2880     2.65                2.60                
Pavarde2881    Vardas2881     5.33                4.80                
Pavarde2882    Vardas2882     5.45                5.80                
Pavarde2883    Vardas2883     6.89                7.00                
Pavarde2884    Vardas2884     5.57                6.40                
Pavarde2885    Vardas2885     2.87                3.00                
Pavarde2886    Vardas2886     5.35                5.40                
Pavarde2887    Vardas2887     5.37                5.80                
Pavarde2888    Vardas2888     5.35                5.80                
Pavarde2889    Vardas2889     8.31                8.20                
Pavarde2890    Vardas2890     6.81                7.00                
Pavarde2891    Vardas2891     4.73                4.20                
Pavarde2892    Vardas2892     3.33                3.20                
Pavarde2893    Vardas2893     2.25                2.20                
Pavarde2894    Vardas2894     4.28                4.60                
Pavarde2895    Vardas2895     8.17                8.20                
Pavarde2896    Vardas2896     7.17                6.80                
Pavarde2897    Vardas2897     8.40                8.40                
Pavarde2898    Vardas2898     4.95                4.60                
Pavarde2899    Vardas2899     6.83                6.80                
Pavarde2900    Vardas2900     6.41                5.80                
Pavarde2901    Vardas2901     3.83                3.40                
Pavarde2902    Vardas2902     5.97                6.00                
Pavarde2903    Vardas2903     5.20                4.80                
Pavarde2904    Vardas2904     5.00                5.40                
Pavarde2905    Vardas2905     4.72                4.80                
Pavarde2906    Vardas2906     4.19                3.60                
Pavarde2907    Vardas2907     4.64                4.40                
Pavarde2908    Vardas2908     7.59                7.40                
Pavarde2909    Vardas2909     3.60                4.00                
Pavarde2910    Vardas2910     5.37                5.40                
Pavarde2911    Vardas2911     3.31                3.20                
Pavarde2912    Vardas2912     6.53                6.80                
Pavarde2913    Vardas2913     6.47                6.60                
Pavarde2914    Vardas2914     3.57                3.60                
Pavarde2915    Vardas2915     6.69                6.80                
Pavarde2916    Vardas2916     4.87                4.20                
Pavarde2917    Vardas2917     4.48                4.00                
Pavarde2918    Vardas2918     2.76                3.00                
Pavarde2919    Vardas2919     1.93                1.80                
Pavarde2920    Vardas2920     5.79                6.00                
Pavarde2921    Vardas2921     2.71                2.60                
Pavarde2922    Vardas2922     6.63                6.60                
Pavarde2923    Vardas2923     8.00                7.60                
Pavarde2924    Vardas2924     5.25                5.60                
Pavarde2925    Vardas2925     4.69                4.80                
Pavarde2926    Vardas2926     6.97                7.00                
Pavarde2927    Vardas2927     4.47                4.60                
Pavarde2928    Vardas2928     7.13                6.60                
Pavarde2929    Vardas2929     8.75                8.80                
Pavarde2930    Vardas2930     5.32                5.80                
Pavarde2931    Vardas2931     4.19                3.60                
Pavarde2932    Vardas2932     3.88                3.80                
Pavarde2933    Vardas2933     7.83                7.80                
Pavarde2934    Vardas2934     3.25                3.20                
Pavarde2935    Vardas2935     7.93                8.20                
Pavarde2936    Vardas2936     7.40                7.40                
Pavarde2937    Vardas2937     6.39                6.20                
Pavarde2938    Vardas2938     3.12                3.20                
Pavarde2939    Vardas2939     7.97                7.60                
Pavarde2940    Vardas2940     3.60                3.60                
Pavarde2941    Vardas2941     7.17                7.20                
Pavarde2942    Vardas2942     8.64                8.80                
Pavarde2943    Vardas2943     5.11                5.40                
Pavarde2944    Vardas2944     7.37                7.40                
Pavarde2945    Vardas2945     3.71                4.00                
Pavarde2946    Vardas2946     5.05                5.00                
Pavarde2947    Vardas2947     7.24                7.00                
Pavarde2948    Vardas2948     3.47                4.00                
Pavarde2949    Vardas2949     6.61                6.40                
Pavarde2950    Vardas2950     6.96                7.20                
Pavarde2951    Vardas2951     5.71                5.60                
Pavarde2952    Vardas2952     8.37                8.80                
Pavarde2953    Vardas2953     5.71                5.20                
Pavarde2954    Vardas2954     2.81                3.00                
Pavarde2955    Vardas2955     3.39                3.20                
Pavarde2956    Vardas2956     7.40                7.40                
Pavarde2957    Vardas2957     5.32                5.40                
Pavarde2958    Vardas2958     3.88                4.20                
Pavarde2959    Vardas2959     5.57                5.60                
Pavarde2960    Vardas2960     7.35                7.00                
Pavarde2961    Vardas2961     4.20                3.80                
Pavarde2962    Vardas2962     4.19                4.00                
Pavarde2963    Vardas2963     6.67                6.80                
Pavarde2964    Vardas2964     3.31                2.80                
Pavarde2965    Vardas2965     7.20                7.20                
Pavarde2966    Vardas2966     5.52                5.20                
Pavarde2967    Vardas2967     4.48                4.40                
Pavarde2968    Vardas2968     5.68                6.00                
Pavarde2969    Vardas2969     5.45                5.80                
Pavarde2970    Vardas2970     4.16                4.00                
Pavarde2971    Vardas2971     6.75                7.20                
Pavarde2972    Vardas2972     4.12                4.20                
Pavarde2973    Vardas2973     2.52                3.00                
Pavarde2974    Vardas2974     4.63                4.20                
Pavarde2975    Vardas2975     4.00                3.60                
Pavarde2976    Vardas2976     2.88                2.40                
Pavarde2977    Vardas2977     7.07                7.60                
Pavarde2978    Vardas2978     4.01                3.80                
Pavarde2979    Vardas2979     7.75                7.80                
Pavarde2980    Vardas2980     6.93                6.80                
Pavarde2981    Vardas2981     6.07                6.20                
Pavarde2982    Vardas2982     2.60                2.60                
Pavarde2983    Vardas2983     4.75                4.40                
Pavarde2984    Vardas2984     5.83                5.40                
Pavarde2985    Vardas2985     5.91                6.20                
Pavarde2986    Vardas2986     6.52                6.60                
Pavarde2987    Vardas2987     8.56                8.80                
Pavarde2988    Vardas2988     7.24                7.40                
Pavarde2989    Vardas2989     5.39                5.20                
Pavarde2990    Vardas2990     5.16                5.40                
Pavarde2991    Vardas2991     7.45                7.40                
Pavarde2992    Vardas2992     8.61                8.40                
Pavarde2993    Vardas2993     3.55                4.00                
Pavarde2994    Vardas2994     2.60                2.60                
Pavarde2995    Vardas2995     7.95                7.20                
Pavarde2996    Vardas2996     6.05                6.00                
Pavarde2997    Vardas2997     3.44                3.60                
Pavarde2998    Vardas2998     6.01                6.20                
Pavarde2999    Vardas2999     2.73                2.60                
Pavarde3000    Vardas3000     3.17                3.20                
Pavarde3001    Vardas3001     6.47                6.60                
Pavarde3002    Vardas3002     4.19                3.60                
Pavarde3003    Vardas3003     6.91                6.80                
Pavarde3004    Vardas3004     2.55                2.60                
Pavarde3005    Vardas3005     7.07                6.80                
Pavarde3006    Vardas3006     4.93                5.20                
Pavarde3007    Vardas3007     4.92                5.00                
Pavarde3008    Vardas3008     2.97                3.40                
Pavarde3009    Vardas3009     7.43                7.40                
Pavarde3010    Vardas3010     4.51                4.40                
Pavarde3011    Vardas3011     3.43                3.00                
Pavarde3012    Vardas3012     6.77                6.80                
Pavarde3013    Vardas3013     6.89                7.00                
Pavarde3014    Vardas3014     5.63                5.60                
Pavarde3015    Vardas3015     6.17                6.20                
Pavarde3016    Vardas3016     6.92                6.60                
Pavarde3017    Vardas3017     2.60                2.60                
Pavarde3018    Vardas3018     8.51                8.00                
Pavarde3019    Vardas3019     4.80                5.20                
Pavarde3020    Vardas3020     3.47                3.20                
Pavarde3021    Vardas3021     6.05                5.60                
Pavarde3022    Vardas3022     2.81                3.00                
Pavarde3023    Vardas3023     6.28                5.80                
Pavarde3024    Vardas3024     3.04                2.80                
Pavarde3025    Vardas3025     6.41                6.20                
Pavarde3026    Vardas3026     5.16                5.00                
Pavarde3027    Vardas3027     4.87                4.60                
Pavarde3028    Vardas3028     8.17                8.60                
Pavarde3029    Vardas3029     7.36                7.20                
Pavarde3030    Vardas3030     5.84                6.00                
Pavarde3031    Vardas3031     6.63                6.60                
Pavarde3032    Vardas3032     5.17                5.60                
Pavarde3033    Vardas3033     2.99                2.80                
Pavarde3034    Vardas3034     3.75                3.40                
Pavarde3035    Vardas3035     7.56                7.80                
Pavarde3036    Vardas3036     7.24                7.40                
Pavarde3037    Vardas3037     2.49                1.40                
Pavarde3038    Vardas3038     7.17                7.20                
Pavarde3039    Vardas3039     7.15                7.20                
Pavarde3040    Vardas3040     7.01                7.20                
Pavarde3041    Vardas3041     5.85                5.80                
Pavarde3042    Vardas3042     4.08                3.20                
Pavarde3043    Vardas3043     6.25                6.20                
Pavarde3044    Vardas3044     6.73                6.60                
Pavarde3045    Vardas3045     6.80                6.80                
Pavarde3046    Vardas3046     6.93                7.20                
Pavarde3047    Vardas3047     7.85                8.20                
Pavarde3048    Vardas3048     5.60                5.60                
Pavarde3049    Vardas3049     6.39                6.60                
Pavarde3050    Vardas3050     5.27                5.00                
Pavarde3051    Vardas3051     5.57                5.60                
Pavarde3052    Vardas3052     5.27                5.40                
Pavarde3053    Vardas3053     5.89                5.60                
Pavarde3054    Vardas3054     4.83                5.20                
Pavarde3055    Vardas3055     6.69                6.80                
Pavarde3056    Vardas3056     2.52                3.00                
Pavarde3057    Vardas3057     3.65                4.00                
Pavarde3058    Vardas3058     6.28                6.20                
Pavarde3059    Vardas3059     8.29                8.40                
Pavarde3060    Vardas3060     6.09                5.80                
Pavarde3061    Vardas3061     5.37                5.40                
Pavarde3062    Vardas3062     7.69                7.80                
Pavarde3063    Vardas3063     2.79                3.00                
Pavarde3064    Vardas3064     3.28                3.20                
Pavarde3065    Vardas3065     7.39                7.60                
Pavarde3066    Vardas3066     4.89                4.60                
Pavarde3067    Vardas3067     4.80                5.20                
Pavarde3068    Vardas3068     3.41                3.60                
Pavarde3069    Vardas3069     7.65                7.60                
Pavarde3070    Vardas3070     3.37                3.40                
Pavarde3071    Vardas3071     7.07                7.20                
Pavarde3072    Vardas3072     8.37                8.80                
Pavarde3073    Vardas3073     6.47                6.60                
Pavarde3074    Vardas3074     2.85                2.80                
Pavarde3075    Vardas3075     5.36                4.80                
Pavarde3076    Vardas3076     7.36                7.60                
Pavarde3077    Vardas3077     7.04                6.80                
Pavarde3078    Vardas3078     5.60                5.60                
Pavarde3079    Vardas3079     7.17                7.20                
Pavarde3080    Vardas3080     5.84                6.40                
Pavarde3081    Vardas3081     7.09                7.60                
Pavarde3082    Vardas3082     4.87                5.00                
Pavarde3083    Vardas3083     7.64                7.80                
Pavarde3084    Vardas3084     3.25                3.60                
Pavarde3085    Vardas3085     6.48                6.40                
Pavarde3086    Vardas3086     3.00                3.00                
Pavarde3087    Vardas3087     8.00                7.60                
Pavarde3088    Vardas3088     6.87                7.00                
Pavarde3089    Vardas3089     5.76                6.00                
Pavarde3090    Vardas3090     2.41                2.20                
Pavarde3091    Vardas3091     2.57                2.20                
Pavarde3092    Vardas3092     6.85                6.40                
Pavarde3093    Vardas3093     4.35                4.00                
Pavarde3094    Vardas3094     4.93                5.20                
Pavarde3095    Vardas3095     7.20                7.20                
Pavarde3096    Vardas3096     6.75                6.80                
Pavarde3097    Vardas3097     4.67                5.20                
Pavarde3098    Vardas3098     3.07                2.80                
Pavarde3099    Vardas3099     4.63                4.60                
Pavarde3100    Vardas3100     4.09                4.20                
Pavarde3101    Vardas3101     6.79                7.00                
Pavarde3102    Vardas3102     2.81                2.60                
Pavarde3103    Vardas3103     5.68                5.60                
Pavarde3104    Vardas3104     3.47                3.60                
Pavarde3105    Vardas3105     4.09                4.20                
Pavarde3106    Vardas3106     6.57                6.60                
Pavarde3107    Vardas3107     7.91                7.40                
Pavarde3108    Vardas3108     4.43                4.40                
Pavarde3109    Vardas3109     4.25                4.20                
Pavarde3110    Vardas3110     5.65                5.60                
Pavarde3111    Vardas3111     5.55                5.20                
Pavarde3112    Vardas3112     6.65                7.00                
Pavarde3113    Vardas3113     8.11                8.00                
Pavarde3114    Vardas3114     7.01                6.80                
Pavarde3115    Vardas3115     3.56                3.80                
Pavarde3116    Vardas3116     4.71                4.60                
Pavarde3117    Vardas3117     2.96                3.20                
Pavarde3118    Vardas3118     2.76                2.60                
Pavarde3119    Vardas3119     2.96                2.40                
Pavarde3120    Vardas3120     3.41                3.20                
Pavarde3121    Vardas3121     5.67                5.40                
Pavarde3122    Vardas3122     3.56                3.80                
Pavarde3123    Vardas3123     7.01                6.80                
Pavarde3124    Vardas3124     6.65                6.60                
Pavarde3125    Vardas3125     7.56                7.40                
Pavarde3126    Vardas3126     6.99                7.20                
Pavarde3127    Vardas3127     7.80                7.40                
Pavarde3128    Vardas3128     5.24                5.40                
Pavarde3129    Vardas3129     3.20                3.20                
Pavarde3130    Vardas3130     3.83                3.80                
Pavarde3131    Vardas3131     3.69                3.40                
Pavarde3132    Vardas3132     3.52                4.00                
Pavarde3133    Vardas3133     7.15                7.20                
Pavarde3134    Vardas3134     5.95                6.00                
Pavarde3135    Vardas3135     2.97                3.00                
Pavarde3136    Vardas3136     7.77                7.80                
Pavarde3137    Vardas3137     7.28                7.60                
Pavarde3138    Vardas3138     6.17                6.20                
Pavarde3139    Vardas3139     4.35                4.00                
Pavarde3140    Vardas3140     7.80                8.20                
Pavarde3141    Vardas3141     2.57                2.60                
Pavarde3142    Vardas3142     7.32                7.40                
Pavarde3143    Vardas3143     6.44                7.00                
Pavarde3144    Vardas3144     3.75                3.40                
Pavarde3145    Vardas3145     6.17                6.20                
Pavarde3146    Vardas3146     4.51                4.40                
Pavarde3147    Vardas3147     5.37                5.40                
Pavarde3148    Vardas3148     3.99                3.80                
Pavarde3149    Vardas3149     6.49                6.60                
Pavarde3150    Vardas3150     6.03                6.40                
Pavarde3151    Vardas3151     8.33                8.20                
Pavarde3152    Vardas3152     4.12                3.80                
Pavarde3153    Vardas3153     5.39                5.20                
Pavarde3154    Vardas3154     4.64                4.80                
Pavarde3155    Vardas3155     7.29                7.00                
Pavarde3156    Vardas3156     2.92                3.00                
Pavarde3157    Vardas3157     3.05                3.40                
Pavarde3158    Vardas3158     7.81                8.00                
Pavarde3159    Vardas3159     5.00                5.00                
Pavarde3160    Vardas3160     8.32                8.40                
Pavarde3161    Vardas3161     5.19                5.00                
Pavarde3162    Vardas3162     5.21                5.40                
Pavarde3163    Vardas3163     7.23                7.60                
Pavarde3164    Vardas3164     8.04                8.60                
Pavarde3165    Vardas3165     3.23                3.20                
Pavarde3166    Vardas3166     4.77                5.20                
Pavarde3167    Vardas3167     2.96                2.80                
Pavarde3168    Vardas3168     3.65                3.60                
Pavarde3169    Vardas3169     6.33                5.80                
Pavarde3170    Vardas3170     6.39                6.60                
Pavarde3171    Vardas3171     3.44                3.60                
Pavarde3172    Vardas3172     4.80                4.80                
Pavarde3173    Vardas3173     5.91                6.20                
Pavarde3174    Vardas3174     7.51                7.80                
Pavarde3175    Vardas3175     7.81                8.40                
Pavarde3176    Vardas3176     7.71                6.80                
Pavarde3177    Vardas3177     5.00                5.00                
Pavarde3178    Vardas3178     4.25                4.60                
Pavarde3179    Vardas3179     3.63                3.60                
Pavarde3180    Vardas3180     3.85                3.80                
Pavarde3181    Vardas3181     4.85                5.20                
Pavarde3182    Vardas3182     6.91                7.20                
Pavarde3183    Vardas3183     6.11                6.40                
Pavarde3184    Vardas3184     6.39                6.20                
Pavarde3185    Vardas3185     6.31                6.20                
Pavarde3186    Vardas3186     6.68                7.00                
Pavarde3187    Vardas3187     2.71                2.60                
Pavarde3188    Vardas3188     5.45                5.00                
Pavarde3189    Vardas3189     4.32                4.00                
Pavarde3190    Vardas3190     7.64                7.80                
Pavarde3191    Vardas3191     7.68                7.60                
Pavarde3192    Vardas3192     5.87                5.60                
Pavarde3193    Vardas3193     4.67                4.40                
Pavarde3194    Vardas3194     7.45                7.40                
Pavarde3195    Vardas3195     7.45                7.00                
Pavarde3196    Vardas3196     4.85                5.20                
Pavarde3197    Vardas3197     5.17                5.60                
Pavarde3198    Vardas3198     6.77                6.80                
Pavarde3199    Vardas3199     8.45                8.80                
Pavarde3200    Vardas3200     5.76                6.00                
Pavarde3201    Vardas3201     4.35                4.00                
Pavarde3202    Vardas3202     5.19                5.00                
Pavarde3203    Vardas3203     6.63                6.60                
Pavarde3204    Vardas3204     3.79                4.00                
Pavarde3205    Vardas3205     4.59                4.80                
Pavarde3206    Vardas3206     8.27                8.40                
Pavarde3207    Vardas3207     2.95                3.00                
Pavarde3208    Vardas3208     4.43                4.40                
Pavarde3209    Vardas3209     7.16                6.60                
Pavarde3210    Vardas3210     7.51                7.00                
Pavarde3211    Vardas3211     7.53                7.80                
Pavarde3212    Vardas3212     6.89                7.00                
Pavarde3213    Vardas3213     8.16                8.40                
Pavarde3214    Vardas3214     7.29                7.40                
Pavarde3215    Vardas3215     6.23                6.20                
Pavarde3216    Vardas3216     6.65                7.00                
Pavarde3217    Vardas3217     4.07                4.20                
Pavarde3218    Vardas3218     7.75                7.80                
Pavarde3219    Vardas3219     4.99                5.20                
Pavarde3220    Vardas3220     8.09                8.20                
Pavarde3221    Vardas3221     7.53                7.40                
Pavarde3222    Vardas3222     2.49                2.20                
Pavarde3223    Vardas3223     8.32                8.80                
Pavarde3224    Vardas3224     4.67                4.40                
Pavarde3225    Vardas3225     3.85                3.80                
Pavarde3226    Vardas3226     7.73                7.60                
Pavarde3227    Vardas3227     4.63                5.00                
Pavarde3228    Vardas3228     5.55                5.20                
Pavarde3229    Vardas3229     6.73                7.00                
Pavarde3230    Vardas3230     6.71                7.00                
Pavarde3231    Vardas3231     5.12                5.60                
Pavarde3232    Vardas3232     4.01                4.20                
Pavarde3233    Vardas3233     6.68                6.60                
Pavarde3234    Vardas3234     5.97                6.00                
Pavarde3235    Vardas3235     6.88                6.80                
Pavarde3236    Vardas3236     3.17                3.20                
Pavarde3237    Vardas3237     2.99                2.80                
Pavarde3238    Vardas3238     5.87                6.00                
Pavarde3239    Vardas3239     5.05                5.00                
Pavarde3240    Vardas3240     5.27                5.40                
Pavarde3241    Vardas3241     3.52                4.00                
Pavarde3242    Vardas3242     3.71                4.00                
Pavarde3243    Vardas3243     5.73                5.60                
Pavarde3244    Vardas3244     2.68                2.60                
Pavarde3245    Vardas3245     6.44                6.20                
Pavarde3246    Vardas3246     4.69                4.40                
Pavarde3247    Vardas3247     3.60                3.60                
Pavarde3248    Vardas3248     3.52                3.60                
Pavarde3249    Vardas3249     8.16                8.00                
Pavarde3250    Vardas3250     4.61                4.80                
Pavarde3251    Vardas3251     6.77                6.80                
Pavarde3252    Vardas3252     5.12                4.80                
Pavarde3253    Vardas3253     6.71                7.00                
Pavarde3254    Vardas3254     2.65                3.00                
Pavarde3255    Vardas3255     7.96                8.20                
Pavarde3256    Vardas3256     4.59                4.40                
Pavarde3257    Vardas3257     3.28                3.20                
Pavarde3258    Vardas3258     4.40                4.40                
Pavarde3259    Vardas3259     3.71                4.00                
Pavarde3260    Vardas3260     7.92                7.60                
Pavarde3261    Vardas3261     8.00                8.00                
Pavarde3262    Vardas3262     6.19                6.40                
Pavarde3263    Vardas3263     7.17                7.60                
Pavarde3264    Vardas3264     4.71                4.60                
Pavarde3265    Vardas3265     8.27                8.40                
Pavarde3266    Vardas3266     6.16                6.00                
Pavarde3267    Vardas3267     6.40                6.40                
Pavarde3268    Vardas3268     5.11                5.00                
Pavarde3269    Vardas3269     6.60                6.60                
Pavarde3270    Vardas3270     6.25                6.20                
Pavarde3271    Vardas3271     3.77                3.40                
Pavarde3272    Vardas3272     3.23                3.20                
Pavarde3273    Vardas3273     4.51                4.40                
Pavarde3274    Vardas3274     8.11                8.00                
Pavarde3275    Vardas3275     7.37                7.00                
Pavarde3276    Vardas3276     7.53                7.40                
Pavarde3277    Vardas3277     3.61                3.40                
Pavarde3278    Vardas3278     4.25                4.60                
Pavarde3279    Vardas3279     4.31                4.20                
Pavarde3280    Vardas3280     6.93                7.20                
Pavarde3281    Vardas3281     3.49                4.00                
Pavarde3282    Vardas3282     3.15                2.80                
Pavarde3283    Vardas3283     5.29                5.40                
Pavarde3284    Vardas3284     6.03                6.40                
Pavarde3285    Vardas3285     8.51                8.40                
Pavarde3286    Vardas3286     4.72                5.20                
Pavarde3287    Vardas3287     4.21                4.00                
Pavarde3288    Vardas3288     5.12                5.20                
Pavarde3289    Vardas3289     8.13                8.00                
Pavarde3290    Vardas3290     7.20                7.20                
Pavarde3291    Vardas3291     4.76                4.20                
Pavarde3292    Vardas3292     6.39                6.60                
Pavarde3293    Vardas3293     6.89                7.40                
Pavarde3294    Vardas3294     2.81                3.00                
Pavarde3295    Vardas3295     3.44                3.60                
Pavarde3296    Vardas3296     4.48                4.00                
Pavarde3297    Vardas3297     3.76                4.00                
Pavarde3298    Vardas3298     5.92                6.00                
Pavarde3299    Vardas3299     6.56                6.00                
Pavarde3300    Vardas3300     3.21                3.40                
Pavarde3301    Vardas3301     5.11                4.60                
Pavarde3302    Vardas3302     4.92                4.60                
Pavarde3303    Vardas3303     2.65                2.20                
Pavarde3304    Vardas3304     6.41                6.60                
Pavarde3305    Vardas3305     6.80                6.80                
Pavarde3306    Vardas3306     4.64                4.40                
Pavarde3307    Vardas3307     5.13                5.00                
Pavarde3308    Vardas3308     5.33                5.20                
Pavarde3309    Vardas3309     6.41                7.00                
Pavarde3310    Vardas3310     5.48                5.40                
Pavarde3311    Vardas3311     4.60                5.00                
Pavarde3312    Vardas3312     3.91                4.20                
Pavarde3313    Vardas3313     7.52                8.00                
Pavarde3314    Vardas3314     6.43                6.00                
Pavarde3315    Vardas3315     6.49                6.60                
Pavarde3316    Vardas3316     5.07                5.20                
Pavarde3317    Vardas3317     2.73                2.60                
Pavarde3318    Vardas3318     2.59                2.00                
Pavarde3319    Vardas3319     4.03                4.00                
Pavarde3320    Vardas3320     3.00                3.40                
Pavarde3321    Vardas3321     7.56                7.80                
Pavarde3322    Vardas3322     2.17                1.80                
Pavarde3323    Vardas3323     6.49                6.60                
Pavarde3324    Vardas3324     7.09                7.20                
Pavarde3325    Vardas3325     2.68                2.60                
Pavarde3326    Vardas3326     8.53                8.80                
Pavarde3327    Vardas3327     4.29                4.00                
Pavarde3328    Vardas3328     2.63                2.20                
Pavarde3329    Vardas3329     3.52                3.60                
Pavarde3330    Vardas3330     2.93                2.40                
Pavarde3331    Vardas3331     6.05                6.00                
Pavarde3332    Vardas3332     4.67                4.80                
Pavarde3333    Vardas3333     5.73                5.60                
